ID,Name,Specialty,Contribution,Price,ImageUrl
1,Alan Turing,Algorithms_Theory,"Developed the concept of the Turing machine, laying the foundation for theoretical computer science.",67.99,https://placecats.com/200/280
2,Ada Lovelace,Algorithms_Theory,"Wrote the first algorithm intended for implementation on Charles Babbage's Analytical Engine, becoming the first computer programmer.",75.99,https://placecats.com/200/280
3,John von Neumann,Computer Architecture,Designed the von Neumann architecture that forms the basis of most modern computer systems.,11.99,https://placecats.com/200/280
4,Grace Hopper,Programming Languages,Developed the first compiler and was instrumental in the development of COBOL.,189.99,https://placecats.com/200/280
5,James Gosling,Programming Languages,Led the creation of the Java programming language while at Sun Microsystems in 1995.,182.99,https://placecats.com/200/280
6,Tim Berners-Lee,Networking_Internet,"Invented the World Wide Web while at CERN, creating the first web browser and server.",56.99,https://placecats.com/200/280
7,Bjarne Stroustrup,Programming Languages,"Created the C++ programming language as an extension of C, adding object-oriented features.",153.99,https://placecats.com/200/280
8,Donald Knuth,Algorithms_Theory,Wrote 'The Art of Computer Programming' and created the TeX typesetting system.,191.99,https://placecats.com/200/280
9,Dennis Ritchie,Programming Languages,Created the C programming language and co-developed the Unix operating system at Bell Labs.,135.99,https://placecats.com/200/280
10,Ken Thompson,Operating Systems,"Co-created the Unix operating system and developed the B programming language, predecessor to C.",163.99,https://placecats.com/200/280
11,Linus Torvalds,Operating Systems,Created the Linux kernel and initiated the development of Git version control system.,126.99,https://placecats.com/200/280
12,Claude Shannon,Algorithms_Theory,Established information theory with his landmark paper 'A Mathematical Theory of Communication'.,96.99,https://placecats.com/200/280
13,Marvin Minsky,Artificial Intelligence,Co-founded MIT's AI laboratory and made fundamental contributions to AI research.,107.99,https://placecats.com/200/280
14,Edsger W. Dijkstra,Algorithms_Theory,Developed Dijkstra's algorithm for shortest paths and made significant contributions to structured programming.,178.99,https://placecats.com/200/280
15,Margaret Hamilton,Software Engineering,Led the team that wrote the onboard flight software for NASA's Apollo missions.,134.99,https://placecats.com/200/280
16,Guido van Rossum,Programming Languages,"Created the Python programming language, focusing on code readability and simplicity.",84.99,https://placecats.com/200/280
17,John McCarthy,Artificial Intelligence,Coined the term 'artificial intelligence' and invented the Lisp programming language.,59.99,https://placecats.com/200/280
18,Patrick Naughton,Programming Languages,"Key member of the Green Team that developed Java, created the original Java GUI library.",117.99,https://placecats.com/200/280
19,Vint Cerf,Networking_Internet,Co-designed the TCP/IP protocols and architecture of the Internet.,118.99,https://placecats.com/200/280
20,Bob Kahn,Networking_Internet,Co-invented the Transmission Control Protocol (TCP) with Vint Cerf.,80.99,https://placecats.com/200/280
21,Larry Page,Networking_Internet,Co-founded Google and developed the PageRank algorithm.,35.99,https://placecats.com/200/280
22,Sergey Brin,Networking_Internet,Co-founded Google and helped develop the PageRank algorithm.,56.99,https://placecats.com/200/280
23,Barbara Liskov,Programming Languages,Developed the Liskov Substitution Principle and designed the CLU programming language.,196.99,https://placecats.com/200/280
24,Bill Gates,Software Engineering,Co-founded Microsoft and helped develop early versions of BASIC for microcomputers.,12.99,https://placecats.com/200/280
25,Steve Jobs,Computer Architecture,Co-founded Apple and was instrumental in the development of the Macintosh and later iOS devices.,89.99,https://placecats.com/200/280
26,Richard Stallman,Software Engineering,Founded the Free Software Foundation and initiated the GNU Project.,85.99,https://placecats.com/200/280
27,Mike Sheridan,Programming Languages,"Original member of the Green Team, helped define Java's business requirements.",183.99,https://placecats.com/200/280
28,Tim Lindholm,Programming Languages,Led the Java Virtual Machine specification and implementation.,111.99,https://placecats.com/200/280
29,Bill Joy,Operating Systems,"Co-founder of Sun Microsystems, instrumental in Java's adoption and helped develop Berkeley Unix.",31.99,https://placecats.com/200/280
30,Arthur van Hoff,Programming Languages,Wrote the Java compiler in Java and helped create the Java platform.,23.99,https://placecats.com/200/280
31,Jonathan Payne,Networking_Internet,"Created the WebRunner browser, predecessor to HotJava, demonstrating Java's capabilities.",97.99,https://placecats.com/200/280
32,Amy Fowler,Graphics_HCI,Core developer of Swing GUI components and AWT architecture for Java.,36.99,https://placecats.com/200/280
33,Guy L. Steele,Programming Languages,Wrote the original Java Language Specification with James Gosling.,36.99,https://placecats.com/200/280
34,Scott Oaks,Cybersecurity,Pioneered Java's security architecture and wrote influential Java security books.,152.99,https://placecats.com/200/280
35,Frank Yellin,Programming Languages,Key contributor to Java's security model and class libraries.,191.99,https://placecats.com/200/280
36,Chris Warth,Programming Languages,"Key contributor to Java's development, worked on the original Java team.",169.99,https://placecats.com/200/280
37,Anders Hejlsberg,Programming Languages,"Created Turbo Pascal, chief architect of Delphi, and later led the development of C# at Microsoft.",149.99,https://placecats.com/200/280
